KET单词表汇总	
NO.	单词	音标	解释	默写	
1	meat	[miːt]	肉		
2	wake	[weɪk]	v.醒来		
3	coach	[kəʊtʃ]	n. 教练		
4	student	[ˈstjuːdnt]	学生		
5	fun	[fʌn]	有趣的事；玩笑		
6	a.m.	[əm]	上午		
7	prepare	[prɪˈpeər]	v. 使做好准备；把…预备好		
8	police station	[pə'liːs 'steɪʃən]	警察局		
9	explore	[ɪkˈsplɔːr]	v.探索；探测		
10	blue	[bluː]	adj.蓝色的		
11	pull	[pʊl]	v.（向某个方向）拖，拉动		
12	shelf	[ʃelf]	n.架子；搁板(复shelves)		
13	drink	[drɪŋk]	v.&n.喝;饮料		
14	plant	[plɑːnt]	n.植物		
15	cover	[ˈkʌvər]	n.盖子；罩；封面		
16	clothes	[kləʊðz; kləʊz]	n.衣服		
17	garden	[ˈɡɑːdn]	花园；园子		
18	blog	[blɒɡ]	博客		
19	bus	[bʌs]	n.公交车		
20	manager	[ˈmænɪdʒər]	n.（企业）的经理		
21	make-up	[ˈmeɪk ʌp]	n.化妆		
22	shopping	[ˈʃɒpɪŋ]	n购物		
23	steal	[stiːl]	v.偷，窃取		
24	geography	[dʒiˈɒɡrəfi]	n.地理(学)		
25	order	[ˈɔːdər]	n.订货，订购		
26	baby	[ˈbeɪbi]	n.婴儿		
27	next to		紧挨着的		
28	internet	[ˈɪntənet]	n.互联网，因特网		
第 1 页，共 55 页
29	build	[bɪld]	v.建筑；建造(built, built)		
30	village	[ˈvɪlɪdʒ]	n.村庄；村镇		
31	among	[əˈmʌŋ]	prep.在……中间；在(三个以上)之	间		
32	tour guide	[tʊə ɡaid]	导游		
33	model	[ˈmɒdl]	n.模型；范例；模范；模特		
34	sailing	[ˈseɪlɪŋ]	n.帆船运动，航行		
35	mobile	[ˈməʊbaɪl]	可移动的；非固定的		
36	Miss	[mɪs]	想念；错过		
37	wake up	[ˈweɪk ˌʌp]	醒来		
38	versus	[ˈvɜːrsəs]	prep. 对，对抗；与……相对，与	……相比		
39	north	[nɔːθ]	北方		
40	transport	[ˈtrænspɔːt]	n.交通车辆，运输工具		
41	congratulations	[[kənˌgrætjʊˈleɪʃə	nz]	n.[pl.]祝贺，恭贺		
42	bicycle	[ˈbaɪsɪkl]	n.自行车		
43	wash	[wɒʃ]	v.洗		
44	team	[tiːm]	n.队，组		
45	pack	[pæk]	包装；装箱		
46	again	[əˈɡen; əˈɡeɪn]	adv.再一次;又一次		
47	your	[jɔːr; jər]	pron.你的；你们的		
48	club	[klʌb]	n. 俱乐部		
49	he	[hi; iː; i; hiː]	pron.他		
50	busy	[ˈbɪzi]	adj.忙碌的;无暇的		
51	police officer		警察		
52	kilometre	[kɪləmiːtər]	n.千米(公里)		
53	office	[ˈɒfɪs]	办公室		
54	sound	[saʊnd]	v.听起来；发出声音		
55	foreign	[ˈfɒrən]	adj.外国的		
56	anymore	[enɪ'mɔː]	adv. （常用于否定句和疑问句末）	再也（不）; （不）再		
57	bee	[biː]	n.蜜蜂		
58	cereal	[ˈsɪəriəl]	谷类食物		
第 2 页，共 55 页
59	excellent	[ˈeksələnt]	adj.优秀的		
60	home	[həʊm]	n.家，活动本部.adv到家；在家		
61	light	[laɪt]	adj. 轻的		
62	physics	[ˈfɪzɪks]	物理；物理学		
63	details	[ˈdiːteɪlz]	n.细节		
64	front	[frʌnt]	前面		
65	half	[hɑːf]	n.&pron.一半;半数		
66	orange	[ˈɒrɪndʒ]	adj.橙色的		
67	storm	[stɔːm]	n.风暴，暴(风)雨(雪)		
68	live	[lɪv; laɪv]	v.居住；生活		
69	cafe	[ˈkæfeɪ]	n.咖啡馆		
70	photographer	[fəˈtɒɡrəfər]	n.拍照者，摄影师		
71	petrol station		n.加油站		
72	day	[deɪ]	n.(一)天，(一)日；白天		
